start,end,lokasi_start,latitude_start,longitude_start,lokasi_end,latitude_end,longitude_end,dist,lge/100km,add_cost,start_time,end_time
0,B,D,Nipah Mall,-5.138213248262159,119.450385690485,Mall Ratu Indah,-5.152876822060522,119.41785812342152,7.5,15.08,0.0,2023-05-03 15:20:00,2023-05-03 15:45:00
1,A,B,Warehouse,-5.094272046080141,119.49164169101736,Nipah Mall,-5.138213248262159,119.450385690485,11.0,13.52,15.5,2023-05-03 14:19:00,2023-05-03 14:44:00
2,F,G,Makassar Town Square,-5.139702315792532,119.47384752800788,Phinisi Point,-5.151031700848662,119.40440441147004,12.3,16.03,0.0,2023-05-02 15:10:00,2023-05-02 15:48:00
3,A,F,Warehouse,-5.094272046080141,119.49164169101736,Makassar Town Square,-5.139702315792532,119.47384752800788,9.7,14.45,0.0,2023-05-02 14:13:00,2023-05-02 14:39:00
4,E,C,Mall Panakkukang,-5.156902646481172,119.44603383134874,TSM Makassar,-5.158039116965831,119.39494264257232,9.8,15.27,0.0,2023-05-01 15:02:00,2023-05-01 15:33:00
5,A,E,Warehouse,-5.094272046080141,119.49164169101736,Mall Panakkukang,-5.156902646481172,119.44603383134874,14.2,12.72,15.5,2023-05-01 14:02:00,2023-05-01 14:28:00
6,F,D,Makassar Town Square,-5.139702315792532,119.47384752800788,Mall Ratu Indah,-5.152876822060522,119.41785812342152,9.6,15.78,0.0,2023-04-26 15:25:00,2023-04-26 15:57:00
7,A,F,Warehouse,-5.094272046080141,119.49164169101736,Makassar Town Square,-5.139702315792532,119.47384752800788,9.7,14.45,0.0,2023-04-26 14:15:00,2023-04-26 14:41:00
8,C,B,TSM Makassar,-5.158039116965831,119.39494264257232,Nipah Mall,-5.138213248262159,119.450385690485,10.3,15.29,0.0,2023-04-25 15:20:00,2023-04-25 15:51:00
9,A,C,Warehouse,-5.094272046080141,119.49164169101736,TSM Makassar,-5.158039116965831,119.39494264257232,18.0,14.27,15.5,2023-04-25 14:01:00,2023-04-25 14:42:00
10,G,E,Phinisi Point,-5.151031700848662,119.40440441147004,Mall Panakkukang,-5.156902646481172,119.44603383134874,6.4,15.29,0.0,2023-04-24 15:20:00,2023-04-24 15:44:00
11,A,G,Warehouse,-5.094272046080141,119.49164169101736,Phinisi Point,-5.151031700848662,119.40440441147004,15.8,14.9,15.5,2023-04-24 14:10:00,2023-04-24 14:49:00
12,B,G,Nipah Mall,-5.138213248262159,119.450385690485,Phinisi Point,-5.151031700848662,119.40440441147004,8.2,15.24,0.0,2023-04-19 15:00:00,2023-04-19 15:27:00
13,A,B,Warehouse,-5.094272046080141,119.49164169101736,Nipah Mall,-5.138213248262159,119.450385690485,11.0,14.34,15.5,2023-04-19 14:09:00,2023-04-19 14:33:00
14,D,C,Mall Ratu Indah,-5.152876822060522,119.41785812342152,TSM Makassar,-5.158039116965831,119.39494264257232,4.3,14.59,0.0,2023-04-18 15:13:00,2023-04-18 15:30:00
15,A,D,Warehouse,-5.094272046080141,119.49164169101736,Mall Ratu Indah,-5.152876822060522,119.41785812342152,15.6,14.55,15.5,2023-04-18 14:02:00,2023-04-18 14:40:00
16,E,F,Mall Panakkukang,-5.156902646481172,119.44603383134874,Makassar Town Square,-5.139702315792532,119.47384752800788,7.2,15.41,0.0,2023-04-17 15:10:00,2023-04-17 15:36:00
17,A,E,Warehouse,-5.094272046080141,119.49164169101736,Mall Panakkukang,-5.156902646481172,119.44603383134874,14.2,12.72,15.5,2023-04-17 14:05:00,2023-04-17 14:31:00
18,F,B,Makassar Town Square,-5.139702315792532,119.47384752800788,Nipah Mall,-5.138213248262159,119.450385690485,3.8,14.57,0.0,2023-04-12 15:10:00,2023-04-12 15:26:00
19,A,F,Warehouse,-5.094272046080141,119.49164169101736,Makassar Town Square,-5.139702315792532,119.47384752800788,9.7,14.45,0.0,2023-04-12 14:07:00,2023-04-12 14:33:00
20,E,B,Mall Panakkukang,-5.156902646481172,119.44603383134874,Nipah Mall,-5.138213248262159,119.450385690485,3.5,15.12,0.0,2023-04-05 15:02:00,2023-04-05 15:20:00
21,A,E,Warehouse,-5.094272046080141,119.49164169101736,Mall Panakkukang,-5.156902646481172,119.44603383134874,14.2,12.72,15.5,2023-04-05 14:01:00,2023-04-05 14:27:00
